2025-06-12 12:17:27 - INFO - [BATCH] Request 24 processed by worker_0 in 0.00 seconds
2025-06-12 12:17:27 - INFO - [GENERATION DONE] Result for request 25: <generator object TinyLLamaModel.generate at 0x7338e60e6240>
2025-06-12 12:17:27 - INFO - [BATCH] Request 25 processed by worker_0 in 0.00 seconds
2025-06-12 12:17:27 - INFO - [GENERATION DONE] Result for request 26: <generator object TinyLLamaModel.generate at 0x7338e60e6340>
2025-06-12 12:17:27 - INFO - [BATCH] Request 26 processed by worker_0 in 0.00 seconds
2025-06-12 12:17:27 - INFO - [GENERATION DONE] Result for request 27: <generator object TinyLLamaModel.generate at 0x7338e60e6440>
2025-06-12 12:17:27 - INFO - [BATCH] Request 27 processed by worker_0 in 0.00 seconds
2025-06-12 12:17:27 - INFO - [GENERATION DONE] Result for request 28: <generator object TinyLLamaModel.generate at 0x7338e60e6540>
2025-06-12 12:17:27 - INFO - [BATCH] Request 28 processed by worker_0 in 0.00 seconds
2025-06-12 12:17:27 - INFO - [GENERATION DONE] Result for request 29: <generator object TinyLLamaModel.generate at 0x7338e60e6640>
2025-06-12 12:17:27 - INFO - [BATCH] Request 29 processed by worker_0 in 0.00 seconds
2025-06-12 12:17:27 - INFO - [GENERATION DONE] Result for request 30: <generator object TinyLLamaModel.generate at 0x7338e60e6740>
2025-06-12 12:17:27 - INFO - [BATCH] Request 30 processed by worker_0 in 0.00 seconds
2025-06-12 12:18:03 - ERROR - [ERROR] Failed request #1 on attempt 1 with worker_0: invalid state
2025-06-12 12:18:03 - ERROR - [ERROR] Failed request #1 on attempt 2 with worker_0: invalid state
2025-06-12 12:18:03 - ERROR - [ERROR] Failed request #1 on attempt 3 with worker_0: invalid state
2025-06-12 12:21:56 - INFO - [GENERATION DONE] Result for request 0: <generator object TinyLLamaModel.generate at 0x7db0a2eada40>
2025-06-12 12:21:56 - INFO - [BATCH] Request 0 processed by worker_0 in 0.00 seconds
2025-06-12 12:21:56 - INFO - [GENERATION DONE] Result for request 1: <generator object TinyLLamaModel.generate at 0x7db0598ed740>
2025-06-12 12:21:56 - INFO - [BATCH] Request 1 processed by worker_0 in 0.00 seconds
2025-06-12 12:21:56 - INFO - [GENERATION DONE] Result for request 2: <generator object TinyLLamaModel.generate at 0x7db0598ed840>
